time,lon,lat,u10,v10,cdir,msl,msdwlwrf,r,rainfall,temp
04-04-1979,83,25.5,3.182820153,-0.634228,0,100290.589,373.2540862,44.72335546,0,38.65509415
05-04-1979,83,25.5,2.064604038,-1.404338499,0,100138.7946,362.5781767,30.58225981,0,36.67167664
06-04-1979,83,25.5,1.747664541,0.303200397,0,100637.4641,334.8432091,30.96975786,1.917789936,35.32881165
07-04-1979,83,25.5,1.833967314,0.607957995,0,100776.8283,344.8534296,31.938503,0,34.42599487
08-04-1979,83,25.5,1.825783431,0.832044465,0,100671.9761,346.7074045,36.6969791,0,36.34753799
09-04-1979,83,25.5,1.939613814,0.606464086,0,100471.1922,352.7919264,51.01115722,0,37.63700867
10-04-1979,83,25.5,1.247703643,1.213738417,0,100512.2849,351.5911976,57.59862414,0,39.11439133
11-04-1979,83,25.5,-0.740980106,1.860601359,0,100257.3931,349.4323744,30.81217532,0,39.55517197
12-04-1979,83,25.5,-1.461161875,0.598994537,0,100178.4249,351.1494788,29.2105167,0,40.32759857
13-04-1979,83,25.5,-4.044293179,1.050155295,0,100714.5312,373.5775986,35.71273405,0,40.08683777
14-04-1979,83,25.5,-3.130674158,0.600488446,0,100907.5645,384.8818687,28.817852,0,37.89038467
15-04-1979,83,25.5,-2.703624225,0.300959532,0,100727.2538,382.2004485,31.83000354,0,38.88467407
16-04-1979,83,25.5,-3.124722242,0.764818524,0,100741.4389,379.2204016,41.62078771,2.861358404,39.3802948
17-04-1979,83,25.5,-1.398666763,-0.859808379,0,100668.6126,371.269462,36.65047934,0,35.60868073
18-04-1979,83,25.5,-1.518449061,0.252407464,0,100626.2038,367.8663603,49.92357935,0,36.20633316
19-04-1979,83,25.5,-1.443306129,1.553602896,0,100575.3132,367.8601389,43.73652709,0,35.65625763
20-04-1979,83,25.5,-1.333195693,0.823827961,0,100336.0688,358.0987741,44.06202545,0,38.11633301
21-04-1979,83,25.5,2.20596203,-0.290628747,0,100296.2922,344.4988102,51.93856923,0,39.754879
22-04-1979,83,25.5,2.089899679,1.003844091,0,100399.2434,326.1643666,48.13850498,0,39.21395111
23-04-1979,83,25.5,1.792303906,0.763324614,0,100565.0766,332.2924382,58.10753825,0,39.07705307
24-04-1979,83,25.5,-2.320469668,0.232239682,0,100895.5731,343.7086934,74.52453914,0,39.97669983
25-04-1979,83,25.5,-1.31013202,1.481895226,0,100798.4714,367.9285742,68.56998571,0,40.04621887
26-04-1979,83,25.5,-2.168695824,-0.235354084,0,100680.1654,373.5216061,64.81900455,0,40.54275894
27-04-1979,83,25.5,-2.129264384,1.109164732,0,100414.7445,377.2046704,72.96679697,0,41.14092636
28-04-1979,83,25.5,-2.119592521,0.457820061,0,100143.9129,389.4608136,87.54189044,0,41.81933594
29-04-1979,83,25.5,-2.703624225,-0.933756914,0,100082.9319,394.7054474,72.36488332,0,42.83570862
30-04-1979,83,25.5,-2.87994972,-0.803786761,0,100262.8039,390.1078384,73.83479261,0,42.69765854
01-05-1979,83,25.5,-0.219443515,-1.486503538,0,100211.3283,376.6011953,87.59097353,0,41.08322525
